%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1557407636016768492,620,1557407636016768492,gps,0,3,57.7079282,11.9402912,137.163,27.931225,0.0,0.0,0.0,27.931225,0.0,0.0,0.0,51.912025,2
1557407637016993818,621,1557407637016993818,gps,0,3,57.707924,11.9402909,136.395,28.047616,0.0,0.0,0.0,28.047616,0.0,0.0,0.0,52.446564,2
1557407638016579077,622,1557407638016579077,gps,0,3,57.7079213,11.9402868,135.835,28.313041,0.0,0.0,0.0,28.313041,0.0,0.0,0.0,53.071225,2
1557407639015811085,623,1557407639015811085,gps,0,3,57.7079182,11.9402823,135.153,28.558336,0.0,0.0,0.0,28.558336,0.0,0.0,0.0,53.626329,2
1557407640017109706,624,1557407640017109706,gps,0,3,57.7079134,11.9402854,134.265,28.772496,0.0,0.0,0.0,28.772496,0.0,0.0,0.0,54.051904,2
1557407641018876569,625,1557407641018876569,gps,0,3,57.7079111,11.9402834,133.826,29.333056,0.0,0.0,0.0,29.333056,0.0,0.0,0.0,54.686025,2
1557407642015872075,626,1557407642015872075,gps,0,3,57.7079083,11.9402841,133.204,29.7025,0.0,0.0,0.0,29.7025,0.0,0.0,0.0,55.145476,2
1557407643015992866,627,1557407643015992866,gps,0,3,57.7079061,11.9402817,132.73,30.426256,0.0,0.0,0.0,30.426256,0.0,0.0,0.0,55.860676,2
1557407644016470261,628,1557407644016470261,gps,0,3,57.7079032,11.9402809,132.118,30.891364,0.0,0.0,0.0,30.891364,0.0,0.0,0.0,56.4001,2
1557407645016292356,629,1557407645016292356,gps,0,3,57.7079008,11.9402787,131.614,31.775769,0.0,0.0,0.0,31.775769,0.0,0.0,0.0,57.214096,2
